Postal_Code,Borough,Neighbourhood
M1A,Not_assigned,Not_assigned
M2A,Not_assigned,Not_assigned
M3A,North_York,Parkwoods
M4A,North_York,Victoria_Village
M5A,Downtown_Toronto,Regent_Park_Harbourfront
M6A,North_York,Lawrence_Manor_Lawrence_Heights
M7A,Downtown_Toronto,Queen's_Park_Ontario_Provincial_Government
M8A,Not_assigned,Not_assigned
M9A,Etobicoke,Islington_Avenue_Humber_Valley_Village
M1B,Scarborough,Malvern_Rouge
M2B,Not_assigned,Not_assigned
M3B,North_York,Don_Mills
M4B,East_York,Parkview_Hill_Woodbine_Gardens
M5B,Downtown_Toronto,Garden_District_Ryerson
M6B,North_York,Glencairn
M7B,Not_assigned,Not_assigned
M8B,Not_assigned,Not_assigned
M9B,Etobicoke,West_Deane_Park_Princess_Gardens_Martin_Grove_Islington_Cloverdale
M1C,Scarborough,Rouge_Hill_Port_Union_Highland_Creek
M2C,Not_assigned,Not_assigned
M3C,North_York,Don_Mills
M4C,East_York,Woodbine_Heights
M5C,Downtown_Toronto,St._James_Town
M6C,York,Humewood-Cedarvale
M7C,Not_assigned,Not_assigned
M8C,Not_assigned,Not_assigned
M9C,Etobicoke,Eringate_Bloordale_Gardens_Old_Burnhamthorpe_Markland_Wood
M1E,Scarborough,Guildwood_Morningside_West_Hill
M2E,Not_assigned,Not_assigned
M3E,Not_assigned,Not_assigned
M4E,East_Toronto,The_Beaches
M5E,Downtown_Toronto,Berczy_Park
M6E,York,Caledonia-Fairbanks
M7E,Not_assigned,Not_assigned
M8E,Not_assigned,Not_assigned
M9E,Not_assigned,Not_assigned
M1G,Scarborough,Woburn
M2G,Not_assigned,Not_assigned
M3G,Not_assigned,Not_assigned
M4G,East_York,Leaside
M5G,Downtown_Toronto,Central_Bay_Street
M6G,Downtown_Toronto,Christie
M7G,Not_assigned,Not_assigned
M8G,Not_assigned,Not_assigned
M9G,Not_assigned,Not_assigned
M1H,Scarborough,Cedarbrae
M2H,North_York,Hillcrest_Village
M3H,North_York,Bathurst_Manor_Wilson_Heights_Downsview_North
M4H,East_York,Thorncliffe_Park
M5H,Downtown_Toronto,Richmond_Adelaide_King
M6H,West_Toronto,Dufferin_Dovercourt_Village
M7H,Not_assigned,Not_assigned
M8H,Not_assigned,Not_assigned
M9H,Not_assigned,Not_assigned
M1J,Scarborough,Scarborough_Village
M2J,North_York,Fairview_Henry_Farm_Oriole
M3J,North_York,Northwood_Park_York_University
M4J,East_York,East_Toronto_Broadview_North_(Old_East_York)
M5J,Downtown_Toronto,Harbourfront_East_Union_Station_Toronto_Islands
M6J,West_Toronto,Little_Portugal_Trinity
M7J,Not_assigned,Not_assigned
M8J,Not_assigned,Not_assigned
M9J,Not_assigned,Not_assigned
M1K,Scarborough,Kennedy_Park_Ionview_East_Birchmount_Park
M2K,North_York,Bayview_Village
M3K,North_York,Downsview
M4K,East_Toronto,The_Danforth_West_Riverdale
M5K,Downtown_Toronto,Toronto_Dominion_Centre_Design_Exchange
M6K,West_Toronto,Brockton_Parkdale_Village_Exhibition_Place
M7K,Not_assigned,Not_assigned
M8K,Not_assigned,Not_assigned
M9K,Not_assigned,Not_assigned
M1L,Scarborough,Golden_Mile_Clairlea_Oakridge
M2L,North_York,York_Mills_Silver_Hills
M3L,North_York,Downsview
M4L,East_Toronto,India_Bazaar_The_Beaches_West
M5L,Downtown_Toronto,Commerce_Court_Victoria_Hotel
M6L,North_York,North_Park_Maple_Leaf_Park_Upwood_Park
M7L,Not_assigned,Not_assigned
M8L,Not_assigned,Not_assigned
M9L,North_York,Humber_Summit
M1M,Scarborough,Cliffside_Cliffcrest_Scarborough_Village_West
M2M,North_York,Willowdale_Newtonbrook
M3M,North_York,Downsview
M4M,East_Toronto,Studio_District
M5M,North_York,Bedford_Park_Lawrence_Manor_East
M6M,York,Del_Ray_Mount_Dennis_Keelsdale_and_Silverthorn
M7M,Not_assigned,Not_assigned
M8M,Not_assigned,Not_assigned
M9M,North_York,Humberlea_Emery
M1N,Scarborough,Birch_Cliff_Cliffside_West
M2N,North_York,Willowdale_Willowdale_East
M3N,North_York,Downsview
M4N,Central_Toronto,Lawrence_Park
M5N,Central_Toronto,Roselawn
M6N,York,Runnymede_The_Junction_North
M7N,Not_assigned,Not_assigned
M8N,Not_assigned,Not_assigned
M9N,York,Weston
M1P,Scarborough,Dorset_Park_Wexford_Heights_Scarborough_Town_Centre
M2P,North_York,York_Mills_West
M3P,Not_assigned,Not_assigned
M4P,Central_Toronto,Davisville_North
M5P,Central_Toronto,Forest_Hill_North_&_West_Forest_Hill_Road_Park
M6P,West_Toronto,High_Park_The_Junction_South
M7P,Not_assigned,Not_assigned
M8P,Not_assigned,Not_assigned
M9P,Etobicoke,Westmount
M1R,Scarborough,Wexford_Maryvale
M2R,North_York,Willowdale_Willowdale_West
M3R,Not_assigned,Not_assigned
M4R,Central_Toronto,North_Toronto_West_Lawrence_Park
M5R,Central_Toronto,The_Annex_North_Midtown_Yorkville
M6R,West_Toronto,Parkdale_Roncesvalles
M7R,Mississauga,Canada_Post_Gateway_Processing_Centre
M8R,Not_assigned,Not_assigned
M9R,Etobicoke,Kingsview_Village_St._Phillips_Martin_Grove_Gardens_Richview_Gardens
M1S,Scarborough,Agincourt
M2S,Not_assigned,Not_assigned
M3S,Not_assigned,Not_assigned
M4S,Central_Toronto,Davisville
M5S,Downtown_Toronto,University_of_Toronto_Harbord
M6S,West_Toronto,Runnymede_Swansea
M7S,Not_assigned,Not_assigned
M8S,Not_assigned,Not_assigned
M9S,Not_assigned,Not_assigned
M1T,Scarborough,Clarks_Corners_Tam_O'Shanter_Sullivan
M2T,Not_assigned,Not_assigned
M3T,Not_assigned,Not_assigned
M4T,Central_Toronto,Moore_Park_Summerhill_East
M5T,Downtown_Toronto,Kensington_Market_Chinatown_Grange_Park
M6T,Not_assigned,Not_assigned
M7T,Not_assigned,Not_assigned
M8T,Not_assigned,Not_assigned
M9T,Not_assigned,Not_assigned
M1V,Scarborough,Milliken_Agincourt_North_Steeles_East_L'Amoreaux_East
M2V,Not_assigned,Not_assigned
M3V,Not_assigned,Not_assigned
M4V,Central_Toronto,Summerhill_West_Rathnelly_South_Hill_Forest_Hill_SE_Deer_Park
M5V,Downtown_Toronto,CN_Tower_King_and_Spadina_Railway_Lands_Harbourfront_West_Bathurst_Quay_South_Niagara_Island_airport
M6V,Not_assigned,Not_assigned
M7V,Not_assigned,Not_assigned
M8V,Etobicoke,New_Toronto_Mimico_South_Humber_Bay_Shores
M9V,Etobicoke,South_Steeles_Silverstone_Humbergate_Jamestown_Mount_Olive_Beaumond_Heights_Thistletown_Albion_Gardens
M1W,Scarborough,Steeles_West_L'Amoreaux_West
M2W,Not_assigned,Not_assigned
M3W,Not_assigned,Not_assigned
M4W,Downtown_Toronto,Rosedale
M5W,Downtown_Toronto,Stn_A_PO_Boxes
M6W,Not_assigned,Not_assigned
M7W,Not_assigned,Not_assigned
M8W,Etobicoke,Alderwood_Long_Branch
M9W,Etobicoke,Northwest_West_Humber_-_Clairville
M1X,Scarborough,Upper_Rouge
M2X,Not_assigned,Not_assigned
M3X,Not_assigned,Not_assigned
M4X,Downtown_Toronto,St._James_Town_Cabbagetown
M5X,Downtown_Toronto,First_Canadian_Place_Underground_city
M6X,Not_assigned,Not_assigned
M7X,Not_assigned,Not_assigned
M8X,Etobicoke,The_Kingsway_Montgomery_Road_Old_Mill_North
M9X,Not_assigned,Not_assigned
M1Y,Not_assigned,Not_assigned
M2Y,Not_assigned,Not_assigned
M3Y,Not_assigned,Not_assigned
M4Y,Downtown_Toronto,Church_and_Wellesley
M5Y,Not_assigned,Not_assigned
M6Y,Not_assigned,Not_assigned
M7Y,East_Toronto,Business_reply_mail_Processing_Centre_South_Central_Letter_Processing_Plant_Toronto
M8Y,Etobicoke,Old_Mill_South_King's_Mill_Park_Sunnylea_Humber_Bay_Mimico_NE_The_Queensway_East_Royal_York_South_East_Kingsway_Park_South_East
M9Y,Not_assigned,Not_assigned
M1Z,Not_assigned,Not_assigned
M2Z,Not_assigned,Not_assigned
M3Z,Not_assigned,Not_assigned
M4Z,Not_assigned,Not_assigned
M5Z,Not_assigned,Not_assigned
M6Z,Not_assigned,Not_assigned
M7Z,Not_assigned,Not_assigned
M8Z,Etobicoke,Mimico_NW_The_Queensway_West_South_of_Bloor_Kingsway_Park_South_West_Royal_York_South_West
M9Z,Not_assigned,Not_assigned
